Model_Name,Model_Slug,Release_Date,Model_Creator_Name,Model_Creator_Slug,repo_id,canonical_url,name_hf_slug,author,card.provider,card.model_creator,card.model_name,card.name,Artificial_Analysis_Intelligence_Index,Artificial_Analysis_Coding_Index,Artificial_Analysis_Math_Index,MMLU_Pro,GPQA,HLE,Median_Output_Tokens_per_Second,Median_Time_to_First_Token_Seconds,Median_Time_to_First_Answer_Token,Price_1M_Blended_3_to_1,Price_1M_Input_Tokens,Price_1M_Output_Tokens,license,card.provider,card.model_creator,card.model_type,task_total_datasets,task_num_nonzero_tasks
gpt-oss-120B (low),gpt-oss-120b-low,2025-08-05,OpenAI,openai,,,,,,,,,47.5,37.2,66.7,0.775,0.672,0.052,301.032,0.553,7.197,0.263,0.15,0.595,,,,,,
GPT-5 mini (minimal),gpt-5-mini-minimal,2025-08-07,OpenAI,openai,,,,,,,,,41.6,35.0,46.7,0.775,0.687,0.05,69.43,1.112,1.112,0.688,0.25,2.0,,,,,,
gpt-oss-20B (low),gpt-oss-20b-low,2025-08-05,OpenAI,openai,,,,,,,,,44.3,34.5,62.3,0.718,0.611,0.051,234.477,0.674,9.204,0.1,0.07,0.2,,,,,,
gpt-oss-20B (high),gpt-oss-20b,2025-08-05,OpenAI,openai,,,,,,,,,52.1,40.7,89.3,0.748,0.688,0.098,265.66,0.546,8.075,0.1,0.07,0.2,,,,,,
GPT-5 nano (minimal),gpt-5-nano-minimal,2025-08-07,OpenAI,openai,,,,,,,,,29.1,27.5,27.3,0.556,0.428,0.041,120.001,0.905,0.905,0.138,0.05,0.4,,,,,,
Grok-1,grok-1,2024-03-17,xAI,xai,,,,,,,,,18.2,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
gpt-oss-120B (high),gpt-oss-120b,2025-08-05,OpenAI,openai,,,,,,,,,60.5,49.6,93.4,0.808,0.782,0.185,326.586,0.492,6.616,0.263,0.15,0.6,,,,,,
GPT-5.2 (xhigh),gpt-5-2,2025-12-11,OpenAI,openai,,,,,,,,,,,,,,,81.84,16.09,16.09,4.813,1.75,14.0,,,,,,
o3,o3,2025-04-16,OpenAI,openai,,,,,,,,,65.5,52.2,88.3,0.853,0.827,0.2,222.465,13.677,13.677,3.5,2.0,8.0,,,,,,
GPT-5.1 (high),gpt-5-1,2025-11-13,OpenAI,openai,,,,,,,,,69.7,57.5,94.0,0.87,0.873,0.265,151.761,22.482,22.482,3.438,1.25,10.0,,,,,,
GPT-5 (high),gpt-5,2025-08-07,OpenAI,openai,,,,,,,,,68.5,52.7,94.3,0.871,0.854,0.265,95.618,94.803,94.803,3.438,1.25,10.0,,,,,,
GPT-5 (minimal),gpt-5-minimal,2025-08-07,OpenAI,openai,,,,,,,,,43.5,37.4,31.7,0.806,0.673,0.054,74.629,0.771,0.771,3.438,1.25,10.0,,,,,,
GPT-5 mini (high),gpt-5-mini,2025-08-07,OpenAI,openai,,,,,,,,,64.3,51.4,90.7,0.837,0.828,0.197,74.335,87.982,87.982,0.688,0.25,2.0,,,,,,
GPT-5 nano (high),gpt-5-nano,2025-08-07,OpenAI,openai,,,,,,,,,51.0,42.3,83.7,0.78,0.676,0.082,106.824,140.919,140.919,0.138,0.05,0.4,,,,,,
GPT-5 (medium),gpt-5-medium,2025-08-07,OpenAI,openai,,,,,,,,,66.4,49.2,91.7,0.867,0.842,0.235,103.657,51.486,51.486,3.438,1.25,10.0,,,,,,
GPT-5 (ChatGPT),gpt-5-chatgpt,2025-08-07,OpenAI,openai,,,,,,,,,41.8,34.7,48.3,0.82,0.686,0.058,139.027,0.685,0.685,3.438,1.25,10.0,,,,,,
GPT-5 (low),gpt-5-low,2025-08-07,OpenAI,openai,,,,,,,,,61.8,46.8,83.0,0.86,0.808,0.184,121.219,23.542,23.542,3.438,1.25,10.0,,,,,,
GPT-5 nano (medium),gpt-5-nano-medium,2025-08-07,OpenAI,openai,,,,,,,,,49.3,42.1,78.3,0.772,0.67,0.076,114.338,50.087,50.087,0.138,0.05,0.4,,,,,,
GPT-5 mini (medium),gpt-5-mini-medium,2025-08-07,OpenAI,openai,,,,,,,,,60.8,45.7,85.0,0.828,0.803,0.146,72.889,38.475,38.475,0.688,0.25,2.0,,,,,,
GPT-5.1 Codex mini (high),gpt-5-1-codex-mini,2025-11-13,OpenAI,openai,,,,,,,,,62.3,52.5,91.7,0.82,0.813,0.169,159.237,9.725,9.725,0.688,0.25,2.0,,,,,,
GPT-5.1 (Non-reasoning),gpt-5-1-non-reasoning,2025-11-13,OpenAI,openai,,,,,,,,,42.9,35.7,38.0,0.801,0.643,0.052,97.643,0.839,0.839,3.438,1.25,10.0,,,,,,
GPT-5.1 Codex (high),gpt-5-1-codex,2025-11-13,OpenAI,openai,,,,,,,,,66.9,52.5,95.7,0.86,0.86,0.234,127.876,30.839,30.839,3.438,1.25,10.0,,,,,,
Llama 3.3 Instruct 70B,llama-3-3-instruct-70b,2024-12-06,Meta,meta,,,,,,,,,27.9,19.2,7.7,0.713,0.498,0.04,97.205,0.497,0.497,0.62,0.54,0.71,,,,,,
Llama 3.1 Instruct 405B,llama-3-1-instruct-405b,2024-07-23,Meta,meta,,,,,,,,,28.1,22.2,3.0,0.732,0.515,0.042,23.982,0.839,0.839,4.188,3.75,6.75,,,,,,
Llama 3.2 Instruct 90B (Vision),llama-3-2-instruct-90b-vision,2024-09-25,Meta,meta,,,,,,,,,18.9,,,0.671,0.432,0.049,35.837,0.357,0.357,0.72,0.72,0.72,,,,,,
Llama 3.2 Instruct 11B (Vision),llama-3-2-instruct-11b-vision,2024-09-25,Meta,meta,,,,,,,,,15.5,7.7,1.7,0.464,0.221,0.052,47.637,0.431,0.431,0.16,0.16,0.16,,,,,,
Llama 4 Maverick,llama-4-maverick,2025-04-05,Meta,meta,,,,,,,,,35.8,26.4,19.3,0.809,0.671,0.048,127.586,0.442,0.442,0.422,0.27,0.85,,,,,,
Llama 4 Scout,llama-4-scout,2025-04-05,Meta,meta,,,,,,,,,28.1,16.1,14.0,0.752,0.587,0.043,121.229,0.536,0.536,0.241,0.14,0.545,,,,,,
Gemma 3n E4B Instruct,gemma-3n-e4b,2025-06-26,Google,google,,,,,,,,,15.5,8.3,14.3,0.488,0.296,0.044,52.847,0.384,0.384,0.025,0.02,0.04,,,,,,
Gemma 3 27B Instruct,gemma-3-27b,2025-03-12,Google,google,,,,,,,,,22.1,12.8,20.7,0.669,0.428,0.047,47.863,0.639,0.639,0.0,0.0,0.0,,,,,,
Gemini 2.5 Flash Preview (Sep '25) (Reasoning),gemini-2-5-flash-preview-09-2025-reasoning,2025-09-25,Google,google,,,,,,,,,54.4,42.5,78.3,0.842,0.793,0.127,264.401,11.599,11.599,0.85,0.3,2.5,,,,,,
Gemma 3 4B Instruct,gemma-3-4b,2025-03-12,Google,google,,,,,,,,,14.7,6.4,12.7,0.417,0.291,0.052,51.111,0.968,0.968,0.0,0.0,0.0,,,,,,
Gemini 2.5 Flash-Lite Preview (Sep '25) (Non-reasoning),gemini-2-5-flash-lite-preview-09-2025,2025-09-25,Google,google,,,,,,,,,41.6,33.2,46.7,0.796,0.651,0.046,454.019,0.303,0.303,0.175,0.1,0.4,,,,,,
Gemma 3 12B Instruct,gemma-3-12b,2025-03-12,Google,google,,,,,,,,,20.4,10.6,18.3,0.595,0.349,0.048,52.024,4.481,4.481,0.0,0.0,0.0,,,,,,
Gemma 3 1B Instruct,gemma-3-1b,2025-03-13,Google,google,,,,,,,,,6.8,0.8,3.3,0.135,0.237,0.052,47.009,0.53,0.53,0.0,0.0,0.0,,,,,,
Gemma 3 270M,gemma-3-270m,2025-08-14,Google,google,,,,,,,,,5.6,0.1,2.3,0.055,0.224,0.042,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Gemini 2.5 Pro,gemini-2-5-pro,2025-06-05,Google,google,,,,,,,,,59.6,49.3,87.7,0.862,0.844,0.211,151.432,35.023,35.023,3.438,1.25,10.0,,,,,,
Gemma 3n E2B Instruct,gemma-3n-e2b,2025-06-26,Google,google,,,,,,,,,11.3,5.2,10.3,0.378,0.229,0.04,51.268,0.364,0.364,0.0,0.0,0.0,,,,,,
Gemini 3 Pro Preview (low),gemini-3-pro-low,2025-11-18,Google,google,,,,,,,,,64.5,55.8,86.7,0.895,0.887,0.276,127.828,4.303,4.303,4.5,2.0,12.0,,,,,,
Gemini 3 Pro Preview (high),gemini-3-pro,2025-11-18,Google,google,,,,,,,,,72.8,62.3,95.7,0.898,0.908,0.372,111.706,37.387,37.387,4.5,2.0,12.0,,,,,,
Gemini 2.5 Flash-Lite Preview (Sep '25) (Reasoning),gemini-2-5-flash-lite-preview-09-2025-reasoning,2025-09-08,Google,google,,,,,,,,,47.9,36.5,68.7,0.808,0.709,0.066,676.803,6.384,6.384,0.175,0.1,0.4,,,,,,
Gemini 2.5 Flash Preview (Sep '25) (Non-reasoning),gemini-2-5-flash-preview-09-2025,2025-09-25,Google,google,,,,,,,,,46.7,37.8,56.7,0.836,0.766,0.078,224.842,0.382,0.382,0.85,0.3,2.5,,,,,,
Claude 4.5 Sonnet (Non-reasoning),claude-4-5-sonnet,2025-09-29,Anthropic,anthropic,,,,,,,,,49.6,42.9,37.0,0.86,0.727,0.071,71.069,2.11,2.11,6.0,3.0,15.0,,,,,,
Claude 4.5 Sonnet (Reasoning),claude-4-5-sonnet-thinking,2025-09-29,Anthropic,anthropic,,,,,,,,,62.7,49.8,88.0,0.875,0.834,0.173,63.404,2.087,33.63,6.0,3.0,15.0,,,,,,
Claude 4.5 Haiku (Reasoning),claude-4-5-haiku-reasoning,2025-10-15,Anthropic,anthropic,,,,,,,,,54.6,43.4,83.7,0.76,0.672,0.097,54.128,0.481,37.43,2.0,1.0,5.0,,,,,,
Claude Opus 4.5 (Non-reasoning),claude-opus-4-5,2025-11-24,Anthropic,anthropic,,,,,,,,,59.9,53.0,62.7,0.889,0.81,0.129,80.185,2.298,2.298,10.0,5.0,25.0,,,,,,
Claude 4.5 Haiku (Non-reasoning),claude-4-5-haiku,2025-10-15,Anthropic,anthropic,,,,,,,,,41.7,37.0,39.0,0.8,0.646,0.043,105.813,0.569,0.569,2.0,1.0,5.0,,,,,,
Claude Opus 4.5 (Reasoning),claude-opus-4-5-thinking,2025-11-24,Anthropic,anthropic,,,,,,,,,69.8,60.2,91.3,0.895,0.866,0.284,66.981,2.17,32.029,10.0,5.0,25.0,,,,,,
Devstral Small 2,devstral-small-2,2025-12-09,Mistral,mistral,,,,,,,,,31.7,26.4,34.3,0.678,0.532,0.034,210.869,0.38,0.38,0.0,0.0,0.0,,,,,,
Mistral Small 3.2,mistral-small-3-2,2025-06-20,Mistral,mistral,,,,,,,,,29.1,20.1,27.0,0.681,0.505,0.043,132.703,0.285,0.285,0.15,0.1,0.3,,,,,,
Devstral Medium,devstral-medium,2025-07-10,Mistral,mistral,,,,,,,,,27.9,23.9,4.7,0.708,0.492,0.038,104.126,0.444,0.444,0.8,0.4,2.0,,,,,,
Magistral Medium 1.2,magistral-medium-2509,2025-09-18,Mistral,mistral,,,,,,,,,52.0,42.3,82.0,0.815,0.739,0.096,63.856,0.508,31.828,2.75,2.0,5.0,,,,,,
Ministral 14B (Dec '25),ministral-14b,2025-12-02,Mistral,mistral,,,,,,,,,30.5,21.0,30.0,0.693,0.572,0.046,146.726,0.31,0.31,0.2,0.2,0.2,,,,,,
Mistral Medium 3.1,mistral-medium-3-1,2025-08-12,Mistral,mistral,,,,,,,,,35.4,28.1,38.3,0.683,0.588,0.044,76.906,0.421,0.421,0.8,0.4,2.0,,,,,,
Ministral 8B (Dec '25),ministral-8b,2025-12-02,Mistral,mistral,,,,,,,,,28.2,18.4,31.7,0.642,0.471,0.043,193.858,0.286,0.286,0.15,0.15,0.15,,,,,,
Devstral Small (Jul '25),devstral-small,2025-07-10,Mistral,mistral,,,,,,,,,27.2,18.5,29.3,0.622,0.414,0.037,225.787,0.353,0.353,0.15,0.1,0.3,,,,,,
Devstral 2,devstral-2,2025-12-09,Mistral,mistral,,,,,,,,,36.4,31.9,36.7,0.762,0.594,0.036,61.713,0.439,0.439,0.0,0.0,0.0,,,,,,
Ministral 3B (Dec '25),ministral-3b,2025-12-02,Mistral,mistral,,,,,,,,,21.8,13.0,22.0,0.524,0.358,0.053,290.275,0.264,0.264,0.1,0.1,0.1,,,,,,
Magistral Small 1.2,magistral-small-2509,2025-09-17,Mistral,mistral,,,,,,,,,43.0,37.2,80.3,0.768,0.663,0.061,194.185,0.386,10.685,0.75,0.5,1.5,,,,,,
Mistral Large 3,mistral-large-3,2025-12-02,Mistral,mistral,,,,,,,,,38.4,32.5,38.0,0.807,0.68,0.041,43.92,0.62,0.62,0.75,0.5,1.5,,,,,,
DeepSeek R1 Distill Llama 70B,deepseek-r1-distill-llama-70b,2025-01-20,DeepSeek,deepseek,,,,,,,,,29.9,19.7,53.7,0.795,0.402,0.061,93.208,0.967,22.424,0.875,0.8,1.05,,,,,,
DeepSeek R1 0528 (May '25),deepseek-r1,2025-05-28,DeepSeek,deepseek,,,,,,,,,52.0,44.1,76.0,0.849,0.813,0.149,0.0,0.0,0.0,1.978,1.075,3.5,,,,,,
DeepSeek V3.2 (Non-reasoning),deepseek-v3-2,2025-12-01,DeepSeek,deepseek,,,,,,,,,52.4,42.8,59.0,0.837,0.751,0.105,28.241,1.323,1.323,0.315,0.28,0.42,,,,,,
DeepSeek V3.1 Terminus (Non-reasoning),deepseek-v3-1-terminus,2025-09-22,DeepSeek,deepseek,,,,,,,,,45.7,38.3,53.7,0.836,0.751,0.084,0.0,0.0,0.0,0.8,0.4,1.68,,,,,,
DeepSeek V3.2 Speciale,deepseek-v3-2-speciale,2025-12-01,DeepSeek,deepseek,,,,,,,,,58.6,55.4,96.7,0.863,0.871,0.261,32.039,0.718,63.141,0.315,0.28,0.42,,,,,,
DeepSeek V3.1 Terminus (Reasoning),deepseek-v3-1-terminus-reasoning,2025-09-22,DeepSeek,deepseek,,,,,,,,,57.7,49.6,89.7,0.851,0.792,0.152,0.0,0.0,0.0,0.8,0.4,2.0,,,,,,
DeepSeek-OCR,deepseek-ocr,2025-10-20,DeepSeek,deepseek,,,,,,,,,,,,,,,291.697,0.195,0.195,0.048,0.03,0.1,,,,,,
DeepSeek R1 0528 Qwen3 8B,deepseek-r1-qwen3-8b,2025-05-29,DeepSeek,deepseek,,,,,,,,,31.0,24.4,63.7,0.739,0.612,0.056,57.792,0.849,35.456,0.068,0.06,0.09,,,,,,
DeepSeek V3.2 (Reasoning),deepseek-v3-2-reasoning,2025-12-01,DeepSeek,deepseek,,,,,,,,,65.9,52.8,92.0,0.862,0.84,0.222,29.846,1.201,68.212,0.315,0.28,0.42,,,,,,
R1 1776,r1-1776,2025-02-18,Perplexity,perplexity,,,,,,,,,19.1,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Grok 4.1 Fast (Reasoning),grok-4-1-fast-reasoning,2025-11-19,xAI,xai,,,,,,,,,64.1,49.7,89.3,0.854,0.853,0.176,124.353,6.274,6.274,0.275,0.2,0.5,,,,,,
Grok 3 mini Reasoning (high),grok-3-mini-reasoning,2025-02-19,xAI,xai,,,,,,,,,57.1,42.2,84.7,0.828,0.791,0.111,189.073,0.584,11.162,0.35,0.3,0.5,,,,,,
Grok 4.1 Fast (Non-reasoning),grok-4-1-fast,2025-11-19,xAI,xai,,,,,,,,,38.3,27.7,34.3,0.743,0.637,0.05,101.766,0.563,0.563,0.275,0.2,0.5,,,,,,
Grok 4 Fast (Non-reasoning),grok-4-fast,2025-09-19,xAI,xai,,,,,,,,,38.6,28.1,41.3,0.73,0.606,0.05,177.364,0.577,0.577,0.275,0.2,0.5,,,,,,
Grok 4,grok-4,2025-07-10,xAI,xai,,,,,,,,,65.3,55.1,92.7,0.866,0.877,0.239,35.301,8.178,8.178,6.0,3.0,15.0,,,,,,
Grok 4 Fast (Reasoning),grok-4-fast-reasoning,2025-09-19,xAI,xai,,,,,,,,,60.3,48.4,89.7,0.85,0.847,0.17,156.748,4.234,4.234,0.275,0.2,0.5,,,,,,
Grok Code Fast 1,grok-code-fast-1,2025-08-28,xAI,xai,,,,,,,,,48.6,39.4,43.3,0.793,0.727,0.075,238.98,8.578,8.578,0.525,0.2,1.5,,,,,,
Nova Micro,nova-micro,2024-12-03,Amazon,aws,,,,,,,,,17.7,8.3,6.0,0.531,0.358,0.047,275.913,0.353,0.353,0.061,0.035,0.14,,,,,,
Nova 2.0 Lite (low),nova-2-0-lite-reasoning-low,2025-10-29,Amazon,aws,,,,,,,,,46.8,27.9,46.7,0.788,0.698,0.042,232.435,7.868,16.473,0.85,0.3,2.5,,,,,,
Nova Premier,nova-premier,2025-04-30,Amazon,aws,,,,,,,,,32.3,22.0,17.3,0.733,0.569,0.047,76.743,0.817,0.817,5.0,2.5,12.5,,,,,,
Nova 2.0 Pro Preview (medium),nova-2-0-pro-reasoning-medium,2025-11-27,Amazon,aws,,,,,,,,,62.4,46.1,89.0,0.83,0.785,0.089,128.33,24.503,40.088,3.438,1.25,10.0,,,,,,
Nova 2.0 Omni (low),nova-2-0-omni-reasoning-low,2025-11-26,Amazon,aws,,,,,,,,,48.7,32.3,56.0,0.798,0.699,0.04,0.0,0.0,0.0,0.85,0.3,2.5,,,,,,
Nova 2.0 Omni (Non-reasoning),nova-2-0-omni,2025-11-26,Amazon,aws,,,,,,,,,34.1,21.6,37.0,0.719,0.555,0.039,228.798,0.648,0.648,0.85,0.3,2.5,,,,,,
Nova 2.0 Pro Preview (low),nova-2-0-pro-reasoning-low,2025-11-27,Amazon,aws,,,,,,,,,57.6,39.6,63.3,0.822,0.751,0.052,129.816,12.535,27.941,3.438,1.25,10.0,,,,,,
Nova 2.0 Pro Preview (Non-reasoning),nova-2-0-pro,2025-11-27,Amazon,aws,,,,,,,,,41.9,30.3,30.7,0.772,0.636,0.04,160.98,0.475,0.475,3.438,1.25,10.0,,,,,,
Nova 2.0 Omni (medium),nova-2-0-omni-reasoning-medium,2025-11-26,Amazon,aws,,,,,,,,,56.0,35.5,89.7,0.809,0.76,0.068,0.0,0.0,0.0,0.85,0.3,2.5,,,,,,
Nova 2.0 Lite (medium),nova-2-0-lite-reasoning-medium,2025-10-29,Amazon,aws,,,,,,,,,57.7,39.8,88.7,0.813,0.768,0.086,252.001,18.744,26.681,0.85,0.3,2.5,,,,,,
Nova 2.0 Lite (Non-reasoning),nova-2-0-lite,2025-10-29,Amazon,aws,,,,,,,,,35.6,21.6,33.7,0.743,0.603,0.03,238.245,0.498,0.498,0.85,0.3,2.5,,,,,,
Phi-4,phi-4,2024-12-12,Microsoft Azure,azure,,,,,,,,,22.7,17.6,18.0,0.714,0.575,0.041,19.176,0.503,0.503,0.219,0.125,0.5,,,,,,
Phi-4 Mini Instruct,phi-4-mini,2024-02-26,Microsoft Azure,azure,,,,,,,,,15.7,7.8,6.7,0.465,0.331,0.042,44.565,0.343,0.343,0.0,0.0,0.0,,,,,,
Phi-4 Multimodal Instruct,phi-4-multimodal,2025-02-26,Microsoft Azure,azure,,,,,,,,,12.4,,,0.485,0.315,0.044,16.712,0.351,0.351,0.0,0.0,0.0,,,,,,
LFM2 1.2B,lfm2-1-2b,2025-07-10,Liquid AI,liquidai,,,,,,,,,9.7,1.5,3.3,0.257,0.228,0.057,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
LFM2 2.6B,lfm2-2-6b,2025-09-23,Liquid AI,liquidai,,,,,,,,,11.8,3.8,8.3,0.298,0.306,0.052,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
LFM2 8B A1B,lfm2-8b-a1b,2025-10-07,Liquid AI,liquidai,,,,,,,,,17.4,7.3,25.3,0.505,0.344,0.049,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Solar Pro 2 (Reasoning),solar-pro-2-reasoning,2025-07-09,Upstage,upstage,,,,,,,,,37.7,31.5,61.3,0.805,0.687,0.07,122.967,1.155,17.419,0.5,0.5,0.5,,,,,,
