model_name,url
Huggingface-Cohere-Cohere-embed-english-light-v3.0,https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0
huggingface-intfloat-e5-base,https://huggingface.co/intfloat/e5-base
huggingface-intfloat-multilingual-e5-large-instruct,https://huggingface.co/intfloat/multilingual-e5-large-instruct
huggingface-baai-bge-small-en-v1.5,https://huggingface.co/baai/bge-small-en-v1.5
huggingface-jinaai-jina-embedding-s-en-v1,https://huggingface.co/jinaai/jina-embedding-s-en-v1
Huggingface-avsolatorio-GIST-all-MiniLM-L6-v2,https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2
huggingface-nomic-ai-nomic-embed-text-v1.5,https://huggingface.co/nomic-ai/nomic-embed-text-v1.5
huggingface-sentence-transformers-all-MiniLM-L6-v2,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2
huggingface-mixedbread-ai-mxbai-embed-large-v1,https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1
huggingface-baai-bge-reranker-v2-m3,https://huggingface.co/BAAI/bge-reranker-v2-m3
huggingface-qwen-qwen2.5-7B-Instruct,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct
huggingface-qwen-qwen2.5-0.5B-Instruct,https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct
huggingface-naver-clova-ix-donut-base,https://huggingface.co/naver-clova-ix/donut-base
huggingface-microsoft-trocr-base-handwritten,https://huggingface.co/microsoft/trocr-base-handwritten
huggingface-distil-whisper-distil-large-v3.5,https://huggingface.co/distil-whisper/distil-large-v3.5
huggingface-Helsinki-NLP-opus-mt-en-es,https://huggingface.co/Helsinki-NLP/opus-mt-en-es
huggingface-sshleifer-distilbart-cnn-12-6,https://huggingface.co/sshleifer/distilbart-cnn-12-6
huggingface-keremberke-yolov8m-table-extraction,https://huggingface.co/keremberke/yolov8m-table-extraction
huggingface-urchade-gliner_large-v2.1,https://huggingface.co/urchade/gliner_large-v2.1
huggingface-qwen-qwen2-vl-7b-instruct,https://huggingface.co/Qwen/Qwen2-VL-7B-Instruct
huggingface-openai-gpt-oss-20b,https://huggingface.co/openai/gpt-oss-20b
