model_name,url,url.1,model_description,params,model_size,updated_url
Huggingface-Cohere-Cohere-embed-english-light-v3.0,https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0,https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0,,,,https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0
Huggingface-Cohere-Cohere-embed-english-v3.0,https://huggingface.co/Cohere/Cohere-embed-english-v3.0,https://huggingface.co/Cohere/Cohere-embed-english-v3.0,,,,https://huggingface.co/Cohere/Cohere-embed-english-v3.0
Huggingface-Cohere-Cohere-embed-multilingual-v3.0,https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0,https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0,,,,https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0
huggingface-EleutherAI-pythia-12b,https://huggingface.co/EleutherAI/pythia-12b,https://huggingface.co/EleutherAI/pythia-12b,text-generation,,,https://huggingface.co/EleutherAI/pythia-12b
huggingface-FinBERT,https://huggingface.co/ProsusAI/finbert,https://huggingface.co/ProsusAI/finbert/tree/main,text-classification,,,https://huggingface.co/ProsusAI/finbert
huggingface-Helsinki-NLP-opus-mt-en-es,https://huggingface.co/Helsinki-NLP/opus-mt-en-es,https://metatext.io/models/Helsinki-NLP-opus-mt-mul-en,translation,,,https://huggingface.co/Helsinki-NLP/opus-mt-en-es
huggingface-Qwen-Qwen2-0-Qwen-Qwen2-0.5B-Instruct,https://huggingface.co/Qwen/Qwen2-0.5B-Instruct,https://huggingface.co/Qwen/Qwen2-0.5B-Instruct,text-generation,,,https://huggingface.co/Qwen/Qwen2-0.5B-Instruct
huggingface-Qwen-Qwen2-1-Qwen-Qwen2-1.5B-Instruct,https://huggingface.co/Qwen/Qwen2-1.5B-Instruct,https://huggingface.co/Qwen/Qwen2-1.5B-Instruct,text-generation,,,https://huggingface.co/Qwen/Qwen2-1.5B-Instruct
huggingface-Roberta-finetuned-squad,https://huggingface.co/TimoImhof/roberta-finetuned-squad,https://huggingface.co/TimoImhof/roberta-finetuned-squad,question-answering,,,https://huggingface.co/TimoImhof/roberta-finetuned-squad
huggingface-albert-large-v2,https://huggingface.co/albert-large-v2,https://huggingface.co/albert-large-v2,fill-mask,,,https://huggingface.co/albert-large-v2
huggingface-allenai-led-base-16384,https://huggingface.co/allenai/led-base-16384,https://huggingface.co/allenai/led-base-16384,,,,https://huggingface.co/allenai/led-base-16384
huggingface-baai-bge-base-en-v1.5,https://huggingface.co/baai/bge-base-en-v1.5,https://huggingface.co/baai/bge-base-en-v1.5,feature-extraction,,,https://huggingface.co/baai/bge-base-en-v1.5
huggingface-baai-bge-base-en-v1.5,https://huggingface.co/baai/bge-base-en-v1.5,https://huggingface.co/baai/bge-base-en-v1.5,feature-extraction,,,https://huggingface.co/baai/bge-base-en-v1.5
huggingface-baai-bge-reranker-v2-m3,https://huggingface.co/BAAI/bge-reranker-v2-m3,https://huggingface.co/BAAI/bge-reranker-v2-m3,text-classification,,,https://huggingface.co/BAAI/bge-reranker-v2-m3
huggingface-baconnier-finance_embedding_large_en-V0.1,https://huggingface.co/bacoonier/finance_embedding_large_en-V0.1,https://huggingface.co/bacoonier/finance_embedding_large_en-V0.1,,,,https://huggingface.co/bacoonier/finance_embedding_large_en-V0.1
huggingface-bart-base,https://metatext.io/models/facebook-bart-base,https://metatext.io/models/facebook-bart-base,,,,
huggingface-bart-large-cnn,https://metatext.io/models/facebook-bart-large-cnn,https://metatext.io/models/facebook-bart-large-cnn,,,,
