repo_id,canonical_url,name_hf_slug,author,pipeline_tag,library_name,license,languages,tags,downloads,likes,created_at,last_modified,private,gated,disabled,sha,model_type,architectures,parameters,parameters_readable,used_storage_bytes,file_count,siblings_total_size_bytes,has_safetensors,has_bin,has_pt,has_onnx,has_tflite,has_gguf,region,arxiv_ids,spaces,benchmarks_json,__source_file,auto_model,processor,transformersInfo.pipeline_tag,card.programming_language,raw._id,raw.pipeline_tag,raw.library_name,card.extra_gated_heading,card.extra_gated_prompt,card.extra_gated_description,card.extra_gated_button_content,card.inference,card.license_name,card.license_link,card.datasets,card.base_model,card.new_version,transformersInfo.custom_class,card.base_model_relation,card.model_name,card.paper,card.model_creator,card.model_type,card.quantized_by,card.fine-tuning,card.arxiv,config.chat_template_jinja,raw.model-index,raw.inference,card.name,card.description,card.readme,card.tasks,card.provider,card.validated_on,card.track_downloads,card.metrics,card.library_tag
bigscience/bloom,https://huggingface.co/bigscience/bloom,huggingface-bigscience-bloom,bigscience,text-generation,transformers,bigscience-bloom-rail-1.0,ak;ar;as;bm;bn;ca;code;en;es;eu;fon;fr;gu;hi;id;ig;ki;kn;lg;ln;ml;mr;ne;nso;ny;or;pa;pt;rn;rw;sn;st;sw;ta;te;tn;ts;tum;tw;ur;vi;wo;xh;yo;zh;zu,transformers;pytorch;tensorboard;safetensors;bloom;text-generation;ak;ar;as;bm;bn;ca;code;en;es;eu;fon;fr;gu;hi;id;ig;ki;kn;lg;ln;ml;mr;ne;nso;ny;or;pa;pt;rn;rw;sn;st;sw;ta;te;tn;ts;tum;tw;ur;vi;wo;xh;yo;zh;zu;arxiv:2211.05100;arxiv:1909.08053;arxiv:2110.02861;arxiv:2108.12409;doi:10.57967/hf/0003;license:bigscience-bloom-rail-1.0;model-index;co2_eq_emissions;text-generation-inference;endpoints_compatible;deploy:azure;region:us,2758,4962,2022-05-19T11:53:33.000Z,2023-07-28T17:50:20.000Z,False,False,False,053d9cd9fbe814e091294f67fcfedb3397b954bb,bloom,BloomForCausalLM,176247271424,176.25B,2820253076240,269,0,True,True,False,False,False,False,us,2211.05100;1909.08053;2110.02861;2108.12409,openfree/LLM_Quantization;FallnAI/Quantize-HF-Models;Steven10429/apply_lora_and_quantize;OpenEvals/tokenizers-languages;seawolf2357/LLM_Quantization;uwnlp/guanaco-playground-tgi;olivierdehaene/chat-llm-streaming;huggingface/bloom_demo;tomg-group-umd/lm-watermarking;Sharathhebbar24/One-stop-for-Open-source-models;yangheng/Super-Resolution-Anime-Diffusion;ysharma/Talk_to_Multilingual_AI_WhisperBloomCoqui;monra/freegpt-webui;KBaba7/Quant;bigscience-data/roots-search;EuroPython2022/Step-By-Step-With-Bloom;EuroPython2022/Translate-with-Bloom;yenniejun/tokenizers-languages;Geonmo/socratic-models-image-captioning-with-BLOOM;justest/gpt4free;ysharma/Bloom-Creates-Meme;EuroPython2022/Write-Stories-Using-Bloom;society-ethics/model-card-regulatory-check;bigscience/petals-api;EuroPython2022/Zero-Shot-SQL-by-Bloom;bhaskartripathi/LLM_Quantization;EuroPython2022/Scratchpad-w-BLOOM;NeuralInternet/ChatLLMs;decodemai/Stable-Diffusion-Ads;abdulmeLINK/programmer-bloom;decodemai/chatgpt_prompts;decodemai/devils_advocate;ehristoforu/Open_LLM_starchat_bot;ruslanmv/convert_to_gguf;kastan/ai-teaching-assistant;FluxWaveCorp/Ghostwriter-Bloom;ghosthamlet/Write-Stories-Using-Bloom;matthoffner/starchat-ggml;awacke1/StoryWriterTextGenMem;tekkonetes/Chatbots;decodemai/market_sizing;decodemai/business_tech_ideas;gsaivinay/Llama-2-13B-GGML-server;bayartsogt/real-time-tokenizer;5w4n/burmese-tokenizers;totolook/Quant;bigscience-data/scisearch;ysharma/test_speech_to_text;decodemai/future_in_words;decodemai/intersection_scenarios;awacke1/Bloom.Big.Science.Continual.Generator;sanjayw/starchat-playground;cloudqi/MultisourceChat;awacke1/Bloom.Generative.Writer;Saturdays/Starchat_Saturdays;g4f/freegpt-webui;Sangmin/Eiken-Essay-Using-BLOOM;KneeKhan/DSSG_Test;ysharma/testing_llm;knkarthick/chat-llm-streaming;hra/music-recommendation;slush0/petals-playground;hra/stable-diffusion-tee-shirt;kastan/ai-teaching-assistant-beta;HuggingFaceH4/reward-modeling-chat-ui;Fernando22/freegpt-webui;g4f/g4f;arslan-ahmed/talk-to-your-docs;Nymbo/LangHub;futranbg/HFMODEL-translator-2;CATIE-AQ/Guide_Evaluation_LLM;K00B404/LLM_Quantization;widged/bloom_demo;Xhaheen/regex_by_bloom;darragh/bloom_demo_long;autonomous019/Story_Generator_v2;ysharma/testing_stablediff;GrantC/learning_goals_bloom;awacke1/04-AW-StorywriterwMem;LandonBurlingham/04GR-StoryGen-Memory;leoberniga/Write-Stories-Using-Bloom;ceckenrode/Memory-Chat-Story-Generator-Bloom;gabrielgmendonca/chilton;gresci/Translate-with-Bloom;Msp/opensource_chat_assistants;awacke1/Memory-Chat-Story-Generator-Bloom;Tritkoman/Bloom;Jour/Bloom-Translation;nateraw/text-generation-inference;jolucas/llm_lab;gaouzief/b;nikravan/Text2Sql;awacke1/Bloom.Human.Feedback.File.Ops;DataScienceEngineering/4-GeneratorCalcPipe;Mahathi/4-GeneratorCalcPipe;danielcwang-optum/4-GeneratorCalcPipe;awacke1/4-GeneratorCalcPipe;awacke1/BigScienceBloomRootsMemory;OpenMind-AI/starchat-playground;Jeffreylex/bigscience-bloom,"{""task_counts"":{""text-generation"":1}}",C:\Users\AMD\git\hf\scripts\cache\json\bigscience__bloom.json,AutoModelForCausalLM,AutoTokenizer,text-generation,C;C++;C#;Go;Java;JavaScript;Lua;PHP;Python;Ruby;Rust;Scala;TypeScript,62862fbd504d37700308a82e,text-generation,transformers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
databricks/dbrx-base,https://huggingface.co/databricks/dbrx-base,huggingface-databricks-dbrx-base,databricks,text-generation,,other,,moe,0,0,,,False,False,False,,,,,,,73,0,True,False,False,False,False,False,,,,"{""task_counts"":{}}",C:\Users\AMD\git\hf\scripts\cache\json\databricks__dbrx-base.json,AutoModelForCausalLM,AutoTokenizer,text-generation,,66032aecf81af72b060662be,,,You need to share contact information with Databricks to access this model,"
### DBRX Terms of Use
Use of DBRX is governed by the [Databricks Open Model License](https://www.databricks.com/legal/open-model-license) and the [Databricks Open Model Acceptable Use Policy](https://www.databricks.com/legal/acceptable-use-policy-open-model).","The information you provide will be collected, stored, processed, and shared in accordance with Databricks [Privacy Notice](https://www.databricks.com/legal/privacynotice).",Submit,False,databricks-open-model-license,https://www.databricks.com/legal/open-model-license,,,,,,,,,,,,,,,,,,,,,,,,
databricks/dbrx-instruct,https://huggingface.co/databricks/dbrx-instruct,huggingface-databricks-dbrx-instruct,databricks,text-generation,,other,,,0,0,,,False,False,False,,,,,,,74,0,True,False,False,False,False,False,,,,"{""task_counts"":{}}",C:\Users\AMD\git\hf\scripts\cache\json\databricks__dbrx-instruct.json,AutoModelForCausalLM,AutoTokenizer,text-generation,,66032afc803114181a7088f8,,,You need to share contact information with Databricks to access this model,"
### DBRX Terms of Use
Use of DBRX is governed by the [Databricks Open Model License](https://www.databricks.com/legal/open-model-license) and the [Databricks Open Model Acceptable Use Policy](https://www.databricks.com/legal/acceptable-use-policy-open-model).","The information you provide will be collected, stored, processed, and shared in accordance with Databricks [Privacy Notice](https://www.databricks.com/legal/privacynotice).",Submit,False,databricks-open-model-license,https://www.databricks.com/legal/open-model-license,,,,,,,,,,,,,,,,,,,,,,,,
docling-project/CodeFormulaV2,https://huggingface.co/docling-project/CodeFormulaV2,huggingface-docling-project-CodeFormulaV2,docling-project,,,cdla-permissive-2.0,,ocr;code;math;formula,0,0,,,False,False,False,,,,,,,13,0,True,False,False,False,False,False,,,,"{""task_counts"":{}}",C:\Users\AMD\git\hf\scripts\cache\json\docling-project__CodeFormulaV2.json,,,,,6899f2df93150dc541bcf759,,,,,,,,,,ds4sd/SynthFormulaNet;ds4sd/SynthCodeNet,,,,,,,,,,,,,,,,,,,,,,,
docling-project/docling-layout-heron,https://huggingface.co/docling-project/docling-layout-heron,huggingface-docling-project-docling-layout-heron,docling-project,,,apache-2.0,,,0,0,,,False,False,False,,,,,,,5,0,True,False,False,False,False,False,,,,"{""task_counts"":{}}",C:\Users\AMD\git\hf\scripts\cache\json\docling-project__docling-layout-heron.json,,,,,67fe52e0b3a9473353b72227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docling-project/docling-models,https://huggingface.co/docling-project/docling-models,huggingface-docling-project-docling-models,docling-project,,,,,,0,0,,,False,False,False,,,,,,,8,0,True,False,False,False,False,False,,,,"{""task_counts"":{}}",C:\Users\AMD\git\hf\scripts\cache\json\docling-project__docling-models.json,AutoModel,,,,6683f1e3bd6e5421c747a05f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
docling-project/DocumentFigureClassifier,https://huggingface.co/docling-project/DocumentFigureClassifier,huggingface-docling-project-DocumentFigureClassifier,docling-project,,,mit,,,0,0,,,False,False,False,,,,,,,4,0,True,False,False,False,False,False,,,,"{""task_counts"":{}}",C:\Users\AMD\git\hf\scripts\cache\json\docling-project__DocumentFigureClassifier.json,,,,,67935657e5788641aa37d2b3,,,,,,,,,,,google/efficientnet-b0,,,,,,,,,,,,,,,,,,,,,,
facebook/sam3,https://huggingface.co/facebook/sam3,huggingface-facebook-sam3,facebook,mask-generation,transformers,other,en,sam3,0,0,,,False,False,False,,,,,,,12,0,True,False,True,False,False,False,,,,"{""task_counts"":{}}",C:\Users\AMD\git\hf\scripts\cache\json\facebook__sam3.json,AutoModel,AutoImageProcessor,feature-extraction,,690d80fc9f252aa897a1dc6d,,,,,"The information you provide will be collected, stored, processed and shared in accordance with the [Meta Privacy Policy](https://www.facebook.com/privacy/policy/).",Submit,,,,,,,,,,,,,,,,,,,,,,,,,,,
google/codegemma-1.1-2b-GGUF,https://huggingface.co/google/codegemma-1.1-2b-GGUF,huggingface-google-codegemma-1.1-2b-GGUF,google,text-generation,llama.cpp,gemma,,,0,0,,,False,False,False,,,,,,,5,0,False,False,False,False,False,True,,,,"{""task_counts"":{}}",C:\Users\AMD\git\hf\scripts\cache\json\google__codegemma-1.1-2b-GGUF.json,,,,,66316a5761a4305e56e9fc2f,,,Access CodeGemma on Hugging Face,"To access Gemma on Hugging Face, you’re required to review and agree to Google’s usage license. To do this, please ensure you’re logged-in to Hugging Face and click below. Requests are processed immediately.",,Acknowledge license,,,https://ai.google.dev/gemma/terms,,,,,,,,,,,,,,,,,,,,,,,,
google/codegemma-1.1-2b-pytorch,https://huggingface.co/google/codegemma-1.1-2b-pytorch,huggingface-google-codegemma-1.1-2b-pytorch,google,text-generation,gemma_torch,gemma,,pytorch,0,0,,,False,False,False,,,,,,,4,0,False,False,True,False,False,False,,,,"{""task_counts"":{}}",C:\Users\AMD\git\hf\scripts\cache\json\google__codegemma-1.1-2b-pytorch.json,,,,,66316b7ca2354b0f50a49849,,,Access Codeemma on Hugging Face,"To access CodeGemma on Hugging Face, you’re required to review and agree to Google’s usage license. To do this, please ensure you’re logged-in to Hugging Face and click below. Requests are processed immediately.",,Acknowledge license,,,https://ai.google.dev/gemma/terms,,,,,,,,,,,,,,,,,,,,,,,,
